responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
486,5,2,3,3,2,3,3,1,2,2,2,,8,7,7,7
487,5,2,4,4,1,1,3,3,2,1,3,,,7,7,
488,4,2,3,2,1,15,1,1,1,1,1,8,6,7,10,7
489,3,2,4,2,1,8,3,3,1,2,1,,,6,3,9
490,3,2,3,2,1,6,1,1,2,2,2,8,7,7,10,8
491,2,2,5,8,1,25,1,2,1,2,1,9,6,5,6,8
492,2,2,3,2,2,10,2,2,2,1,3,5,5,5,10,
493,3,2,4,3,2,3,3,1,1,1,1,,9,9,10,9
494,6,2,4,2,1,20,1,1,1,1,1,7,4,8,10,9
497,5,2,3,2,1,4,,1,,,,,5,,,
498,6,2,4,2,1,12,1,2,1,1,1,9,6,8,9,8
500,5,2,4,8,2,4,2,1,1,3,1,5,5,8,,9
502,3,2,4,8,2,3,4,1,1,3,3,,10,10,,
503,2,2,3,4,2,2,,1,1,,,,5,5,,
504,5,2,2,4,2,8,4,1,2,2,1,,8,6,6,9
506,5,2,4,2,1,3,3,1,1,2,1,,5,6,8,8
507,4,2,4,5,2,12,1,2,1,1,2,8,7,8,8,8
508,4,2,6,8,3,7,3,1,3,2,3,,9,,10,
510,4,2,3,8,2,4,3,3,2,2,3,,,4,6,
511,6,2,4,3,2,1,3,1,3,1,3,,5,,10,
512,2,2,3,1,1,4,,,1,,1,,,6,,4
513,3,1,5,1,1,25,,1,1,1,1,,8,8,8,1
514,4,2,4,8,2,8,3,3,1,2,1,,,4,4,4
515,4,2,2,3,2,15,1,1,1,1,1,7,7,4,7,9
517,3,2,4,2,1,5,1,2,2,2,2,8,6,6,9,7
518,3,2,4,2,2,10,1,3,2,2,2,10,,10,10,10
520,2,2,4,8,1,15,,,2,2,2,,,7,8,7
521,4,2,2,3,2,9,2,3,3,1,1,7,,,9,9
522,5,2,3,7,2,10,,1,1,,,,3,6,,
523,5,2,4,3,2,3,3,3,2,3,1,,,7,,7
524,6,2,2,2,1,10,3,1,1,2,2,,9,8,4,7
526,4,2,4,2,1,10,1,3,2,1,1,7,,5,7,6
527,6,1,4,4,2,4,3,1,1,1,1,,9,8,8,9
528,6,2,5,4,2,5,,1,1,1,,,8,5,8,
529,2,2,3,1,2,3,1,1,2,1,1,7,6,4,9,8
530,6,2,3,2,2,2,4,3,3,3,3,,,,,
531,3,2,4,3,2,10,2,2,1,1,2,7,5,9,8,5
532,5,2,3,4,2,8,1,1,1,1,1,9,6,4,9,7
534,6,2,2,5,2,2,,,,1,,,,,8,
537,4,2,3,3,2,4,3,3,3,1,2,,,,10,6
538,6,2,4,8,2,6,3,1,2,4,1,,4,5,,9
539,2,2,3,2,2,6,,,,,1,,,,,9
540,4,2,2,2,2,10,1,3,1,1,2,10,,8,10,10
541,4,2,4,4,2,4,1,1,1,3,1,9,8,6,,9
542,2,2,4,3,2,20,3,2,1,1,1,,3,8,8,8
544,4,2,4,8,2,2,3,3,3,3,2,,,,,10
546,6,2,3,3,2,20,3,1,1,1,1,,7,7,6,8
547,3,2,5,4,2,15,2,1,1,1,1,4,8,7,9,9
548,2,2,3,3,2,2,,,,1,,,,,8,
550,6,2,3,2,2,3,4,3,2,3,4,,,8,,
551,2,2,4,3,2,1,3,3,3,1,2,,,,8,6
552,2,2,4,2,1,8,3,3,1,2,1,,,5,7,8
554,6,2,2,4,2,8,,,,,1,,,,,7
558,2,2,4,3,1,1,4,1,3,2,3,,4,,8,
559,3,2,4,4,1,3,4,3,3,2,1,,,,10,9
561,5,2,3,2,1,5,3,1,1,1,1,,5,5,6,5
562,2,2,4,1,1,5,4,3,2,2,2,,,7,7,8
566,2,2,4,2,1,4,3,3,1,2,2,,,9,6,6
567,4,2,3,5,2,2,3,3,3,3,3,,,,,
569,5,1,5,3,2,8,1,1,3,1,1,6,5,,6,6
570,4,2,4,2,2,3,3,2,1,2,2,,8,8,9,9
575,5,2,3,8,2,4,2,3,3,3,1,6,,,,8
576,2,2,3,1,2,5,3,3,1,2,3,,,6,8,
577,6,2,4,3,1,3,,,,1,,,,,7,
578,6,2,3,2,1,16,3,2,2,2,1,,6,4,4,3
579,4,2,5,3,2,8,1,1,1,,,10,5,5,,
580,5,1,2,4,2,8,2,2,1,1,1,6,5,8,7,7
582,4,1,5,3,1,2,2,3,1,3,1,6,,5,,8
583,2,2,4,2,1,4,3,3,1,1,3,,,5,5,
586,4,2,2,1,2,5,2,4,1,2,3,6,,8,7,
587,4,2,3,2,2,5,1,1,1,3,1,8,8,8,,8
588,3,2,4,5,2,4,,1,1,,,,7,7,,
590,2,2,4,2,2,10,3,4,3,1,3,,,,7,
591,3,2,4,3,1,6,3,1,1,3,2,,8,5,,6
594,5,2,3,3,2,10,1,2,1,3,1,8,8,8,,8
595,4,2,4,5,2,3,1,2,1,3,1,7,5,4,,7
596,3,2,3,4,1,7,3,1,1,1,1,,6,5,6,6
597,5,2,3,8,2,10,1,1,,1,1,6,10,,5,5
598,2,2,4,4,2,4,,,,,,,,,,
599,4,2,2,2,2,3,,,1,,,,,7,,
601,5,2,4,2,1,6,3,1,1,1,1,,8,8,1,9
602,2,2,4,2,1,25,1,2,1,4,2,9,6,8,,7
604,4,2,4,1,1,20,1,1,3,2,1,6,7,,6,8
605,3,2,4,8,2,2,3,1,1,1,2,,8,9,9,7
606,6,1,4,6,2,4,3,3,2,3,1,,,6,,7
607,3,2,3,6,2,1,3,3,1,3,3,,,3,,
608,5,2,3,3,1,3,3,3,3,3,1,,,,,7
609,2,2,3,8,1,10,2,2,1,1,2,8,7,7,9,7
610,6,2,4,3,1,2,3,3,3,1,1,,,,7,8
613,4,2,5,2,2,4,4,1,1,2,3,,8,9,6,
614,6,1,3,3,2,8,3,1,1,2,1,,7,7,6,7
615,4,2,4,2,2,2,,4,4,2,4,,,,9,
616,2,2,3,1,1,2,3,2,2,3,3,,1,6,,
617,5,2,3,2,2,2,1,3,3,2,3,7,,,7,
618,3,2,4,1,1,3,3,1,1,3,1,,8,6,,8
621,2,1,3,1,1,4,3,2,3,3,2,,7,,,7
622,4,2,3,1,2,5,3,1,1,3,3,,8,8,,
625,6,1,3,3,1,25,1,3,1,3,1,6,,8,,7
626,5,2,4,2,1,7,3,2,1,3,2,,5,5,,5
627,2,2,2,8,1,6,,,1,,1,,,9,,7
628,5,2,4,2,1,10,3,1,1,3,1,,5,10,,10
629,3,2,5,2,1,20,2,2,1,2,2,2,6,10,7,5
630,6,2,4,3,2,8,3,1,1,1,2,,8,8,8,8
631,4,2,3,3,2,20,,1,1,1,,,9,9,10,
632,3,2,4,2,2,6,1,1,1,1,1,6,4,4,6,7
633,6,2,4,2,1,6,,,1,,1,,,8,,8
634,4,2,3,2,1,8,3,1,1,2,1,,7,7,7,8
635,2,2,3,3,1,3,3,1,1,3,3,,9,3,,
636,4,2,4,2,1,10,1,1,1,2,1,9,4,9,9,10
638,2,2,3,8,1,2,2,3,3,3,2,9,,,,9
639,3,2,5,8,2,3,,3,3,3,2,,,,,8
640,2,2,3,1,2,3,3,2,2,3,2,,9,8,,8
641,5,1,2,2,1,1,,3,3,3,3,,,,,
642,2,2,4,8,2,1,4,2,2,3,3,,6,8,,
644,6,2,4,2,1,10,3,3,1,2,1,,,8,8,8
645,5,2,5,3,2,4,4,3,1,2,3,,,8,9,
646,4,1,5,8,2,3,3,2,2,3,1,,6,5,,8
647,3,1,4,5,1,20,2,2,2,2,2,8,6,5,7,6
648,6,2,2,2,2,8,1,1,3,1,1,6,6,,8,7
650,3,2,3,1,1,4,,,1,,1,,,8,,8
653,4,2,5,8,2,3,3,3,3,1,3,,,,3,
654,6,2,3,2,2,2,1,1,1,1,2,9,7,8,9,7
655,3,2,4,8,2,5,3,2,2,2,2,,4,4,7,5
656,6,2,3,2,1,4,,,1,,,,,9,,
657,6,2,6,2,3,8,1,1,1,,1,5,3,2,,5
658,6,2,3,3,2,1,2,2,3,3,2,9,9,,,9
659,2,2,4,8,1,11,1,,1,,1,10,,6,,10
660,5,2,4,8,2,5,2,3,1,2,1,7,,7,8,8
662,6,2,3,3,2,10,,1,1,1,1,,7,8,8,8
663,6,2,3,5,2,15,3,3,1,1,1,,,5,7,7
664,6,2,4,8,2,2,3,3,1,3,2,,,4,,5
665,4,1,5,5,2,5,3,1,1,4,2,,6,6,,6
666,5,2,2,3,2,6,3,1,3,1,3,,5,,9,
667,4,2,4,4,2,5,1,1,2,2,1,8,5,5,8,8
668,3,2,5,5,2,2,2,3,2,1,3,7,,7,9,
671,2,2,3,3,2,4,,1,1,,1,,5,4,,5
672,2,2,4,1,1,4,3,1,1,2,1,,7,2,6,7
673,4,2,3,2,2,1,3,3,1,3,3,,,5,,
675,2,1,3,6,1,10,3,1,1,3,1,,5,4,,10
677,2,2,3,8,1,1,3,3,3,1,2,,,,8,7
678,6,2,3,2,2,8,,1,,,,,6,,,
681,3,2,2,2,2,3,2,2,1,2,1,9,9,9,8,9
683,2,1,4,2,1,3,3,3,2,1,2,,,3,8,5
684,3,2,4,2,2,2,3,3,2,1,3,,,7,8,
685,4,1,5,8,2,8,,,1,,1,,,7,,8
686,2,2,3,3,2,7,,,,1,1,,,,10,7
687,4,2,3,3,2,10,2,2,1,2,1,4,3,9,7,8
688,6,2,5,2,1,14,2,1,1,1,1,8,9,7,8,8
690,6,1,4,2,2,6,1,1,,,1,8,8,,,8
695,2,1,3,5,1,4,3,2,1,3,2,,8,9,,3
696,2,2,2,2,2,16,2,1,1,1,3,6,4,2,6,
697,2,2,3,4,1,4,3,3,2,1,3,,,8,10,
698,4,2,2,2,2,10,3,1,1,1,2,,5,7,8,7
699,5,2,3,4,2,6,2,1,1,1,1,4,7,5,9,9
700,2,2,2,3,1,3,2,2,2,1,3,6,6,4,10,
703,2,2,4,3,2,4,4,1,1,1,3,,6,6,5,
704,3,2,5,4,2,6,4,1,1,1,2,,10,10,10,7
707,4,2,5,4,2,2,3,2,3,3,3,,8,,,
708,3,2,4,4,2,12,3,1,1,1,3,,8,9,9,
709,6,1,3,2,2,3,1,2,1,3,3,7,6,7,,
711,2,2,3,5,1,10,3,1,3,1,1,,7,,8,7
712,6,2,5,3,2,4,1,2,1,3,3,5,5,8,,
713,2,2,4,1,1,8,3,1,1,2,3,,6,7,7,
715,3,2,4,1,1,4,3,2,1,2,1,,6,7,5,7
718,6,2,4,5,2,8,1,2,2,1,1,7,7,7,9,8
719,3,1,4,3,1,20,3,3,3,3,1,,,,,7
720,3,2,4,3,1,2,1,1,1,1,1,8,5,7,8,7
727,4,2,3,2,1,16,,,1,,1,,,7,,9
728,4,2,4,3,2,1,3,3,3,3,2,,,,,7
729,3,2,4,2,1,7,3,2,3,2,3,,10,,10,
731,6,1,5,2,1,10,,1,1,,,,8,3,,
732,6,2,4,7,2,4,2,3,1,3,2,10,,10,,10
734,6,1,2,3,2,6,1,2,1,1,3,8,8,7,9,
735,4,2,3,2,1,6,3,2,1,3,3,,4,7,,
738,3,2,4,2,1,3,3,2,,3,3,,8,,,
739,6,2,2,1,1,2,3,3,3,1,3,,,,9,
740,4,2,2,8,2,8,1,1,1,1,1,10,7,5,10,9
741,3,2,3,2,1,10,2,1,1,1,1,9,10,7,9,9
742,5,2,5,3,1,12,2,2,1,2,2,3,9,8,9,7
743,4,2,4,8,1,15,1,1,1,3,1,7,6,10,,10
744,6,2,3,1,2,7,2,1,2,1,2,7,8,6,9,9
747,5,1,4,2,1,5,3,3,3,3,1,,,,,7
748,2,2,4,4,1,2,,3,2,3,2,,,8,,8
749,3,2,3,3,2,13,2,1,1,3,1,7,7,8,,8
755,2,2,4,2,2,3,1,2,3,1,2,8,7,,9,8
756,5,2,5,3,2,4,3,1,1,3,2,,8,6,,7
757,2,2,3,8,1,1,3,3,1,2,3,,,8,8,
758,3,2,3,8,2,3,1,3,2,2,3,5,,5,8,
759,6,2,3,1,1,5,,,1,1,,,,7,10,
761,2,2,3,1,1,4,2,3,1,2,3,5,,5,5,
763,3,1,4,3,2,4,4,1,1,1,1,,7,8,8,7
764,5,2,2,8,2,5,3,2,1,2,3,,8,8,8,
765,3,2,5,1,1,15,3,1,1,1,1,,4,7,2,8
766,2,2,4,1,1,6,1,3,3,2,2,8,,,7,6
767,2,2,2,3,2,25,1,1,1,,1,6,6,6,,6
769,3,2,3,2,1,3,3,3,3,1,3,,,,9,
770,3,1,4,3,2,2,2,3,2,3,2,4,,5,,5
771,4,2,5,4,1,1,2,3,1,3,3,6,,6,,
772,4,2,4,3,1,4,,,1,1,,,,8,10,
774,2,2,2,8,1,2,4,1,2,2,2,,6,5,7,7
775,2,1,3,3,1,1,3,2,2,3,2,,7,7,,7
777,3,2,3,1,2,4,1,1,2,1,3,10,5,10,8,
778,6,2,3,5,2,6,3,3,2,1,1,,,8,8,8
779,4,2,3,2,2,8,3,1,2,2,3,,8,5,9,
780,2,2,3,1,1,8,,1,1,,1,,8,7,,9
781,6,2,4,5,2,6,3,2,1,1,4,,4,2,6,
782,2,2,4,3,2,5,1,2,2,1,2,8,6,6,7,7
785,6,2,2,1,1,4,3,1,1,3,3,,9,9,,
793,4,2,4,5,2,6,3,1,1,3,1,,7,7,,8
794,2,2,4,8,2,6,2,2,1,1,3,8,7,5,9,
795,3,2,4,2,2,7,3,1,1,1,1,,9,7,7,8
796,2,2,3,3,1,15,3,2,1,1,1,,6,7,6,8
797,6,2,4,5,2,3,4,3,2,1,3,,,6,8,
798,3,2,3,8,1,4,2,2,2,2,1,10,4,10,9,9
799,6,2,3,1,1,5,1,,1,,1,10,,1,,9
800,3,1,5,8,2,1,,,,,,,,,,
801,5,2,3,2,2,4,3,1,1,2,3,,10,8,9,
802,6,2,4,3,2,6,1,3,1,3,1,6,,5,,7
803,5,2,3,4,2,8,1,1,2,1,1,8,4,2,9,4
804,3,1,3,2,2,3,3,3,1,1,3,,,6,8,
805,3,2,4,2,1,6,2,2,1,1,2,7,4,4,7,5
807,3,2,3,3,2,5,1,1,1,,1,8,8,7,,8
808,6,1,3,1,1,2,3,2,1,3,3,,9,9,,
810,5,2,2,4,2,10,1,2,1,1,1,7,6,5,9,9
811,2,2,3,8,1,8,3,3,3,2,1,,,,7,8
812,6,2,2,2,1,12,1,2,1,1,3,8,7,7,4,
813,2,2,4,4,2,15,3,1,1,2,1,,9,8,10,10
814,5,2,3,3,1,2,3,3,1,,3,,,3,,
816,3,2,3,2,2,4,2,1,1,1,1,7,3,8,5,6
817,3,2,4,3,2,1,3,3,3,3,3,,,,,
819,6,2,2,2,2,1,1,1,1,3,1,9,6,5,,10
820,5,2,4,2,1,2,1,3,1,3,2,8,,8,,9
821,3,2,2,8,1,3,,,,3,2,,,,,7
823,3,2,4,2,2,6,3,1,1,2,1,,8,7,6,9
824,6,2,4,2,2,3,,,1,,,,,4,,
826,2,2,2,8,1,15,,1,1,1,1,,8,7,6,7
827,5,2,3,3,2,3,3,3,2,2,2,,,5,6,5
829,2,2,4,5,1,3,3,3,1,2,1,,,6,6,7
831,2,2,3,2,1,2,3,2,1,1,3,,8,7,9,
832,4,2,5,2,1,2,,,1,1,,,,5,6,
833,3,2,3,1,2,10,1,1,3,3,1,9,8,,,9
834,4,2,3,2,1,5,3,2,1,3,3,,6,9,,
835,2,2,4,2,2,5,3,1,1,1,3,,5,8,9,
836,2,2,3,3,1,5,3,2,3,1,3,,4,,10,
838,6,1,2,4,2,2,4,2,1,2,1,,5,6,6,10
839,2,2,4,2,1,12,2,1,1,2,2,5,6,2,3,3
840,2,1,3,1,1,3,3,2,1,3,2,,7,10,,7
841,3,2,4,2,1,5,1,1,1,3,1,7,7,7,,7
842,5,2,4,5,2,8,1,1,1,1,1,7,7,7,9,7
843,6,2,2,3,2,15,2,1,1,3,1,4,7,3,,7
844,3,2,3,3,2,30,1,1,4,1,4,9,6,,9,
845,2,2,3,1,1,56,2,2,1,1,2,4,5,7,10,10
846,4,2,4,5,2,5,,,1,,,,,7,,
847,3,2,4,2,2,2,1,3,3,3,1,7,,,,9
848,4,2,3,3,2,8,,1,1,1,1,,10,10,10,10
849,2,2,4,3,1,8,3,3,2,,3,,,7,,
850,3,2,5,8,2,3,,1,1,1,,,8,7,9,
851,2,2,4,3,2,15,1,1,1,2,2,8,6,5,7,4
852,6,2,6,8,2,4,3,1,1,1,3,,5,5,10,
853,2,2,4,2,1,15,1,1,1,1,,9,5,7,8,
854,4,1,5,3,1,5,,1,1,,,,9,9,,
855,4,2,4,3,2,6,4,3,1,3,1,,,6,,9
856,4,2,5,5,1,3,3,3,2,3,2,,,8,,8
857,4,2,3,3,2,5,,,1,,,,,5,,
858,3,2,4,3,1,4,3,1,1,1,1,,7,7,8,8
859,2,2,3,1,2,3,2,1,2,2,2,8,8,8,9,8
860,6,2,4,3,2,15,1,3,1,1,1,8,,7,9,9
863,3,1,4,3,2,8,4,1,3,1,4,,7,,8,
865,5,2,4,3,2,4,3,1,2,2,2,,5,5,8,8
869,5,1,3,4,2,5,3,3,1,1,1,,,8,9,9
870,4,2,3,2,2,10,,1,1,,1,,9,9,,9
871,6,2,4,3,1,16,1,1,1,2,1,7,7,5,5,5
873,6,1,4,4,2,3,3,3,3,2,3,,,,7,
875,4,2,2,1,2,4,2,1,1,1,3,9,7,7,9,
876,2,2,3,3,1,10,3,3,2,2,1,,,7,6,7
877,4,2,4,2,2,5,1,1,1,1,1,8,8,8,8,8
879,3,2,4,6,2,8,2,2,2,2,1,6,5,5,6,8
880,5,2,3,3,2,10,,,1,,1,,,7,,6
881,6,2,3,5,2,1,,,,,,,,,,
882,2,2,3,3,1,5,1,3,1,3,2,5,,2,,6
883,2,2,3,1,1,1,3,2,2,3,2,,8,4,,8
884,4,2,3,3,2,6,2,1,3,1,2,9,9,,10,8
885,3,1,5,3,2,10,1,1,1,1,1,6,6,6,6,6
886,6,2,3,1,2,1,3,3,1,1,2,,,7,9,8
887,4,2,3,4,2,2,3,3,1,3,1,,,10,,10
888,4,2,5,3,2,6,3,2,1,3,1,,6,8,,5
889,6,2,3,5,2,8,,1,1,,1,,7,10,,2
891,6,1,3,4,2,5,1,2,1,1,3,9,8,7,8,
892,2,2,2,2,1,3,,,1,,,,,7,,
893,3,2,3,2,2,4,4,3,1,3,2,,,1,,10
894,3,2,3,3,2,2,2,2,2,1,1,6,5,5,7,7
895,2,2,4,2,2,3,3,3,1,3,2,,,6,,7
898,4,1,5,2,2,10,1,1,1,2,2,7,6,2,7,5
899,6,2,4,8,1,2,,,1,,,,,7,,
900,4,2,5,3,2,3,3,2,2,2,3,,7,3,7,
901,2,2,2,2,1,2,2,2,2,2,1,8,8,7,8,8
902,4,2,3,2,2,10,1,2,1,4,1,9,2,4,,8
903,2,2,3,8,1,2,2,1,2,2,3,10,9,9,9,
904,4,2,5,3,2,20,2,1,1,2,1,4,8,5,4,9
906,6,2,4,4,2,2,3,3,2,1,3,,,8,10,
907,3,2,3,2,1,3,3,3,3,1,2,,,,7,7
908,3,2,2,7,2,15,1,,1,,1,5,,3,,5
909,4,2,5,8,2,3,3,3,1,1,1,,,3,7,8
910,4,1,2,2,2,10,1,1,1,1,2,7,7,5,7,8
911,2,1,2,4,1,4,,1,2,1,1,,9,7,8,8
912,3,1,5,2,1,6,,,1,,,,,7,,
914,6,2,5,3,2,8,4,1,1,1,4,,5,5,10,
915,3,2,4,5,2,2,1,3,2,3,3,8,,8,,
916,6,1,5,8,1,5,,1,,3,1,,7,,,9
919,3,2,4,1,1,15,2,1,1,2,1,8,7,6,10,7
922,4,2,4,2,2,1,2,3,3,2,1,5,,,7,8
923,5,2,4,3,2,6,3,3,1,1,2,,,6,6,6
925,6,1,4,3,2,15,1,1,3,1,1,9,10,,10,10
933,5,2,2,2,1,6,,2,,,,,8,,,
934,3,2,4,2,1,25,3,1,1,1,2,,9,8,10,8
935,6,1,3,1,2,4,,,,,,,,,,
937,6,1,4,2,2,3,3,1,1,3,1,,6,5,,6
938,2,2,3,3,1,5,3,3,1,3,4,,,8,,
939,4,2,5,8,2,6,1,1,1,3,1,7,7,6,,8
940,6,1,5,5,2,2,2,1,1,2,2,6,6,6,6,6
943,2,2,4,2,2,7,1,1,1,,1,5,9,7,,9
944,6,2,3,4,2,6,1,1,1,1,1,8,7,9,7,10
945,5,2,5,8,2,4,3,1,3,3,3,,6,,,
946,3,2,4,3,1,2,3,3,1,2,1,,,6,4,6
947,3,1,3,2,2,2,3,,2,3,3,,,8,,
948,3,2,4,5,2,10,1,1,3,1,1,9,8,,10,9
949,5,2,3,4,2,12,1,2,1,2,3,7,6,6,6,
951,6,2,4,3,2,4,1,,,1,1,9,,,10,8
952,2,1,5,3,2,3,,,,,,,,,,
953,3,1,5,4,1,4,3,1,2,2,1,,7,5,7,7
956,6,2,2,2,2,3,3,3,3,3,1,,,,,9
957,3,2,4,2,2,10,1,,1,1,1,9,,8,9,8
958,4,2,4,3,1,20,1,3,1,1,1,3,,3,4,3
959,3,2,4,3,2,5,,1,1,,,,6,7,,
960,5,2,4,2,2,14,1,2,1,,,4,5,6,,
961,6,2,3,5,2,10,2,2,1,2,2,8,8,8,9,9
962,6,2,4,4,1,4,3,3,3,2,1,,,,8,7
963,4,1,3,2,2,5,1,1,1,2,2,8,8,8,8,8
964,3,2,3,3,1,5,1,3,1,1,2,9,,7,7,8
965,5,2,4,4,2,8,3,2,1,1,3,,8,8,8,
966,4,2,2,4,2,16,1,1,1,1,1,8,7,3,9,10
967,4,2,2,2,2,8,2,1,1,2,2,10,8,8,10,8
968,6,2,5,3,2,33,1,1,1,1,1,5,5,2,8,8
969,3,2,5,5,2,4,2,1,2,1,1,7,6,6,6,7
970,6,2,2,2,2,2,3,3,4,1,3,,,,10,
971,2,2,4,2,1,20,1,1,1,1,,7,8,9,10,
972,5,2,3,1,1,20,3,3,1,2,3,,,7,6,
974,2,2,1,2,1,2,4,1,1,4,1,,9,9,,9
975,3,2,4,8,2,5,3,1,3,1,1,,8,,8,8
976,5,2,4,1,1,2,,1,1,,4,,9,9,,
977,3,2,2,8,2,4,,,1,1,,,,10,10,
978,3,2,3,1,2,1,,1,1,3,3,,5,2,,
980,6,2,2,2,2,6,3,1,3,2,2,,8,,8,8
981,6,2,3,1,1,4,3,2,3,2,2,,5,,7,3
982,3,2,4,2,2,8,2,1,1,3,1,7,7,7,,8
983,2,2,3,3,1,3,1,1,3,1,3,7,10,,10,
984,4,2,3,5,2,1,3,1,3,2,3,,7,,7,
985,3,2,5,2,2,10,1,2,1,1,1,8,6,5,8,9
986,5,2,5,3,2,1,,,1,,,,,5,,
987,3,2,3,4,2,10,2,1,1,1,1,10,10,10,10,10
988,5,2,3,3,2,7,1,,1,,,8,,9,,
989,2,2,5,4,2,4,2,1,2,1,2,8,9,8,10,8
990,4,2,3,2,2,7,2,1,2,1,1,8,8,8,8,8
991,5,2,4,8,2,4,2,1,2,2,3,8,9,4,8,
993,6,2,2,2,2,2,1,1,2,2,2,10,9,8,8,6
994,5,2,2,2,2,6,1,2,1,3,1,10,8,10,,10
995,3,1,4,3,2,8,,,1,,1,,,8,,8
996,3,2,4,4,2,8,3,2,2,3,3,,6,7,,
997,3,2,4,2,2,10,3,2,1,1,1,,8,8,9,8
998,6,2,1,2,2,6,4,3,2,1,3,,,9,10,
999,4,2,3,2,1,3,,,1,,,,,8,,
"1,000",4,2,3,2,2,4,2,2,1,2,3,6,9,9,10,
"1,001",2,2,4,1,2,5,1,1,1,1,1,9,9,7,10,9
"1,002",2,1,2,8,1,2,,,,,,,,,,
"1,003",5,2,4,1,2,2,,,,1,1,,,,7,6
"1,005",2,2,2,2,2,15,3,1,1,1,2,,10,10,10,7
"1,006",3,2,2,2,2,8,3,1,1,1,3,,8,8,8,
"1,008",4,1,3,2,2,7,3,1,1,3,3,,6,6,,
"1,010",6,2,2,3,2,10,1,2,1,1,2,8,7,8,8,8
"1,011",4,2,4,2,2,4,1,1,3,3,1,7,8,,,7
"1,012",3,2,3,3,2,12,3,3,1,3,2,,,10,,5
"1,013",6,2,4,3,2,2,3,3,3,2,3,,,,7,
"1,015",3,2,5,3,1,7,3,3,1,1,3,,,7,9,
