responid,age,gender,edu,income,marital,consumption_rate,patronage_arbys,patronage_burgerking,patronage_mcd,patronage_subway,patronage_wendys,rating_arbys,rating_burgerking,rating_mcd,rating_subway,rating_wendys
"1,016",2,2,3,2,1,4,4,2,1,3,1,,7,4,,9
"1,017",2,2,4,2,1,12,2,2,1,1,2,7,6,6,7,7
"1,018",6,2,3,1,1,4,3,3,1,3,1,,,5,,3
"1,020",6,2,4,4,2,5,1,3,3,1,2,7,,,8,6
"1,021",2,2,3,1,1,10,,,1,,,,,7,,
"1,022",4,1,3,3,2,5,2,3,1,1,1,6,,7,8,6
"1,023",3,1,4,2,2,1,4,3,3,3,1,,,,,6
"1,026",4,2,2,3,2,6,1,3,3,2,1,8,,,8,8
"1,027",3,2,2,3,2,3,2,3,2,1,3,6,,5,7,
"1,028",2,2,4,3,2,12,3,1,1,2,3,,8,7,6,
"1,029",3,1,4,4,2,2,1,3,3,3,1,7,,,,8
"1,031",5,2,5,4,2,3,3,2,3,1,2,,7,,8,7
"1,033",4,2,3,2,2,6,2,1,1,2,1,7,6,8,6,8
"1,034",6,2,2,2,2,6,3,2,3,2,2,,10,,10,10
"1,036",2,2,3,2,2,5,2,3,1,2,1,6,,4,7,7
"1,038",4,2,2,1,2,12,3,1,2,1,3,,8,7,8,
"1,039",4,1,4,3,1,1,,,1,,,,,4,,
"1,040",2,2,3,2,2,7,2,1,2,2,2,6,6,6,6,6
"1,041",6,2,3,1,1,12,2,2,1,3,2,6,7,7,,7
"1,042",5,2,3,2,2,3,3,2,1,4,2,,7,7,,7
"1,044",3,1,2,2,1,25,1,1,1,1,1,7,7,7,7,7
"1,045",4,2,3,3,2,3,1,2,3,1,2,2,5,,8,6
"1,046",4,2,4,5,2,25,1,1,1,1,1,7,1,7,8,8
"1,047",5,2,5,3,2,8,,2,1,1,3,,7,6,9,
"1,048",6,1,4,4,2,6,1,3,1,1,3,7,,4,7,
"1,049",4,1,4,4,2,12,1,1,1,2,1,10,10,10,10,10
"1,050",5,2,2,1,2,6,1,,1,1,,10,,10,10,
"1,052",6,2,5,2,1,2,2,3,2,3,2,8,,8,,8
"1,053",3,2,4,2,2,12,2,1,2,1,1,9,10,9,10,9
"1,055",4,2,3,2,2,2,3,3,3,1,3,,,,9,
"1,056",3,2,5,4,2,25,1,1,1,3,3,3,8,9,,
"1,058",6,2,5,8,1,1,3,2,1,3,3,,7,7,,
"1,060",4,2,3,4,2,6,,1,1,,,,8,7,,
"1,061",4,2,3,1,2,3,1,3,1,1,,8,,8,8,
"1,064",6,2,4,5,2,2,3,3,3,1,3,,,,8,
"1,065",6,2,4,5,2,4,,,,,,,,,,
"1,066",3,2,3,3,2,6,2,2,1,2,2,8,9,7,9,9
"1,068",4,2,5,4,1,1,,3,3,4,2,,,,,7
"1,069",3,2,3,8,2,4,3,3,2,2,2,,,5,5,8
"1,070",4,2,3,4,2,10,2,2,1,1,1,4,9,5,7,5
"1,072",6,1,4,3,1,10,3,2,1,1,1,,6,7,6,9
"1,074",6,2,2,3,2,4,3,1,1,1,1,,9,10,9,7
"1,075",5,2,4,1,1,2,,,,,,,,,,
"1,076",3,2,4,3,1,6,3,2,2,1,1,,7,5,9,7
"1,078",2,2,3,3,1,15,,,,1,,,,,8,
"1,081",6,1,2,8,1,10,2,1,1,1,2,6,5,5,6,5
"1,082",5,2,3,3,2,6,2,1,1,2,1,7,3,7,7,7
"1,083",5,2,5,7,2,10,3,3,1,1,1,,,5,6,7
"1,084",6,2,3,2,1,4,3,1,1,1,3,,5,5,6,
"1,085",4,2,3,2,2,8,1,3,1,2,1,5,,9,8,9
"1,087",4,1,2,4,1,10,1,,,,1,8,,,,9
"1,088",5,2,3,3,2,3,2,2,2,1,3,8,6,3,7,
"1,089",5,1,3,8,1,10,1,1,1,1,1,9,1,7,5,7
"1,090",5,2,4,2,1,20,,1,1,,1,,9,9,,9
"1,091",5,2,2,4,2,4,4,1,3,2,2,,5,,5,10
"1,092",6,2,2,3,2,7,,1,,1,,,8,,10,
"1,093",2,1,3,8,1,4,3,3,1,2,3,,,10,9,
"1,094",6,2,2,1,1,5,1,1,1,1,1,9,7,6,9,7
"1,095",2,2,4,1,2,4,3,3,1,1,2,,,5,8,4
"1,096",5,2,2,4,2,6,1,3,1,1,1,9,,8,9,8
"1,097",3,2,2,2,1,10,1,2,1,2,1,4,6,8,5,8
"1,098",2,2,4,3,1,4,3,3,1,2,3,,,7,7,
"1,099",2,2,3,1,2,10,,,1,,1,,,9,,7
"1,100",6,2,5,8,2,10,1,1,1,1,1,8,6,8,9,9
"1,101",3,2,2,4,2,8,,1,,1,,,6,,8,
"1,102",6,2,4,4,2,12,,,1,1,1,,,4,7,7
"1,104",2,1,4,2,1,6,2,1,1,1,2,5,9,7,8,9
"1,105",2,2,3,1,1,2,3,3,1,2,3,,,8,9,
"1,106",3,2,3,2,2,10,1,,1,1,,3,,3,10,
"1,107",2,1,5,3,2,15,2,1,2,1,2,5,6,8,10,5
"1,108",5,2,4,3,1,10,1,2,1,3,1,5,4,5,,5
"1,109",4,2,4,4,2,1,4,2,2,3,2,,7,8,,8
"1,110",3,2,4,3,1,10,,1,1,1,,,7,8,9,
"1,111",2,2,2,8,1,4,3,3,2,3,3,,,6,,
"1,112",6,2,4,8,2,6,1,1,1,3,1,9,9,9,,9
"1,113",3,1,3,3,2,8,2,3,1,2,1,7,,3,5,2
"1,116",4,2,3,5,2,8,3,1,3,3,1,,9,,,9
"1,117",6,2,3,7,2,1,3,1,3,3,3,,6,,,
"1,118",3,2,3,2,1,2,1,3,1,3,2,8,,7,,7
"1,121",5,2,3,3,2,1,3,3,1,2,3,,,6,8,
"1,122",6,1,4,1,1,5,3,3,1,3,2,,,8,,9
"1,124",2,2,3,8,1,14,2,1,2,,1,5,8,2,,7
"1,125",3,2,4,5,2,12,2,3,1,1,1,5,,7,9,8
"1,128",4,2,4,2,2,3,2,3,4,1,2,6,,,7,7
"1,129",6,2,4,5,2,4,4,2,1,3,1,,7,6,,8
"1,130",3,2,3,4,2,4,1,2,1,1,3,8,7,7,7,
"1,133",5,2,4,5,2,1,4,3,3,3,3,,,,,
"1,135",6,2,5,2,1,10,1,3,1,3,1,9,,6,,7
"1,136",4,2,3,3,2,5,3,3,1,1,2,,,7,9,7
"1,137",3,2,4,3,2,4,1,1,3,2,3,7,6,,4,
"1,138",6,1,4,3,1,10,1,1,1,2,1,6,8,10,10,10
"1,139",2,1,3,2,2,5,,1,4,3,2,,8,,,5
"1,141",2,2,3,2,1,4,2,3,1,1,1,6,,4,7,8
"1,142",4,2,3,2,2,10,2,1,1,1,2,7,5,7,8,8
"1,143",3,2,3,1,2,10,1,3,1,1,2,9,,9,8,7
"1,144",6,2,4,2,1,4,3,1,1,2,3,,8,4,8,
"1,145",3,2,2,2,1,6,3,1,1,2,2,,6,6,7,8
"1,146",3,2,3,3,1,5,3,1,1,1,2,,7,5,6,5
"1,147",3,2,3,1,1,6,3,1,1,3,3,,8,8,,
"1,148",5,1,4,3,1,4,3,3,1,2,2,,,7,8,7
"1,149",3,2,5,2,1,10,2,,,1,1,5,,,8,7
"1,150",3,2,5,3,2,10,3,2,1,1,2,,8,8,9,8
"1,151",3,1,3,2,2,12,3,1,1,3,2,,9,6,,6
"1,152",4,2,4,4,2,6,2,2,2,3,3,8,7,9,,
"1,154",3,1,4,2,2,5,1,2,1,2,2,9,4,5,8,9
"1,155",4,2,2,4,2,2,3,1,2,1,1,,9,3,10,8
"1,156",5,1,3,5,2,6,2,1,1,3,2,9,4,4,,8
"1,157",4,1,3,1,1,4,4,3,1,3,3,,,7,,
"1,158",6,1,2,1,1,20,2,1,1,3,2,8,10,10,,6
"1,159",4,2,3,4,2,7,3,3,2,1,1,,,8,10,9
"1,160",4,2,3,3,2,4,3,2,1,1,2,,6,8,8,8
"1,161",5,2,4,1,1,2,4,2,2,1,1,,7,6,7,7
"1,162",5,1,4,3,2,10,3,3,1,2,2,,,8,8,7
"1,166",3,2,2,2,1,2,3,3,1,2,3,,,5,5,
"1,169",6,2,4,3,2,2,3,1,3,3,3,,5,,,
"1,170",4,1,4,4,2,2,3,2,3,1,1,,4,,7,6
"1,171",4,2,4,2,1,6,4,3,3,3,1,,,,,8
"1,173",5,2,4,3,2,4,2,3,3,3,3,7,,,,
"1,175",6,2,3,3,2,4,3,3,1,2,3,,,8,8,
"1,176",3,2,5,2,1,2,3,3,3,2,3,,,,7,
"1,177",4,1,3,2,2,4,3,1,1,2,2,,7,7,10,9
"1,178",3,2,4,3,2,10,2,2,1,1,1,6,10,6,10,10
"1,179",3,2,5,8,1,5,3,3,3,1,3,,,,7,
"1,180",5,2,4,5,2,5,1,2,1,3,2,10,8,8,,8
"1,181",3,2,4,2,1,16,,,,1,1,,,,8,9
"1,185",2,2,5,8,1,15,3,,,,,,,,,
"1,186",4,2,3,3,2,4,1,,,,,7,,,,
"1,187",5,1,4,3,1,4,2,1,1,1,3,8,8,4,4,
"1,188",6,1,5,5,2,4,,,1,,,,,5,,
"1,192",3,2,3,5,2,6,2,1,1,2,2,9,10,6,10,9
"1,194",5,2,4,5,2,4,3,1,3,3,2,,7,,,7
"1,195",2,2,5,3,2,11,1,3,1,2,1,7,,5,4,7
"1,198",5,2,4,3,2,12,1,3,1,3,1,10,,9,,8
"1,200",2,1,4,2,1,13,3,1,3,1,1,,5,,7,8
"1,202",5,2,5,5,2,5,,,,,,,,,,
"1,204",4,2,3,2,1,10,,,1,,1,,,5,,8
"1,205",4,2,3,4,2,15,1,1,1,4,1,8,7,9,,9
"1,206",5,2,4,3,2,10,1,3,1,1,2,10,,5,1,7
"1,207",4,1,3,3,3,10,1,1,1,2,1,7,6,6,7,7
"1,208",4,2,4,3,2,2,,,1,,,,,5,,
"1,209",2,2,3,1,2,2,2,1,2,3,3,9,10,9,,
"1,211",6,2,2,1,1,3,3,3,2,3,1,,,2,,8
"1,212",4,1,3,3,2,12,3,1,1,1,1,,7,7,6,9
"1,213",2,2,2,3,2,2,2,3,3,1,2,7,,,10,8
"1,214",5,2,4,4,2,3,3,3,1,1,1,,,9,9,9
"1,215",3,2,3,3,2,6,3,2,1,3,3,,9,9,,
"1,217",4,1,5,2,1,5,1,1,1,2,2,6,6,5,5,6
"1,218",6,2,2,4,2,1,2,3,3,3,3,7,,,,
"1,220",3,2,3,4,2,2,3,2,2,1,3,,7,7,8,
"1,223",3,2,4,5,2,10,2,2,2,1,1,8,6,7,8,7
"1,224",3,2,3,2,2,5,1,3,1,1,3,8,,9,8,
"1,225",5,2,3,3,2,4,2,1,1,3,1,10,7,9,,10
"1,227",6,2,3,2,1,18,2,2,1,2,1,9,6,4,6,5
"1,228",2,2,3,1,2,20,3,2,2,1,1,,9,9,6,10
"1,231",6,2,4,2,1,10,3,1,1,2,1,,7,10,10,10
"1,232",5,2,2,2,2,4,3,1,1,2,1,,6,6,6,6
"1,233",4,2,3,8,3,2,,,1,,,,,7,,
"1,235",5,2,4,3,2,4,,,,,1,,,,,8
"1,237",6,2,3,1,1,1,3,2,2,3,3,,7,7,,
"1,238",5,1,2,3,1,3,3,1,3,2,3,,8,,9,
"1,240",3,2,3,2,2,5,3,1,2,2,1,,7,5,9,9
"1,241",5,1,4,4,2,20,1,1,1,1,1,8,9,9,9,9
"1,243",4,2,4,6,2,4,3,2,1,1,2,,3,2,6,3
"1,245",3,2,2,3,2,4,2,2,1,3,2,8,8,7,,6
"1,247",6,2,5,4,2,10,1,1,1,1,1,8,7,7,10,7
"1,248",2,1,2,4,1,4,4,1,1,1,3,,8,9,4,
"1,250",4,2,3,3,2,5,1,1,1,1,3,9,7,8,7,
"1,252",5,2,3,2,1,20,2,2,1,3,2,7,1,7,,7
"1,253",3,2,4,3,2,5,2,3,2,2,1,9,,9,9,10
"1,254",5,2,3,3,2,15,2,2,1,2,2,8,7,8,8,10
"1,255",3,2,3,2,1,4,3,1,1,,2,,6,6,,8
"1,256",5,2,4,2,2,12,1,2,1,1,2,10,5,8,7,6
"1,257",2,2,4,3,2,1,,,,,,,,,,
"1,259",3,2,5,2,1,1,3,3,1,3,3,,,4,,
"1,261",4,2,2,3,2,6,3,2,3,1,1,,5,,7,5
"1,262",5,2,4,8,1,10,,2,1,1,1,,7,8,9,9
"1,264",2,1,3,2,1,8,,1,,1,,,8,,9,
"1,265",2,2,3,3,1,4,2,3,1,2,1,9,,8,8,9
"1,267",3,1,5,2,2,11,,,1,2,,,,7,10,
"1,268",2,2,3,3,1,20,1,1,1,1,2,9,7,7,9,8
"1,269",2,2,3,8,1,5,2,2,2,1,3,8,6,6,8,
"1,271",3,2,3,3,2,24,2,2,1,2,1,3,7,6,5,10
"1,272",5,2,4,3,2,12,1,1,1,,1,9,8,6,,9
"1,275",2,1,3,8,1,10,2,1,2,1,3,9,6,5,8,
"1,279",4,2,2,1,1,8,2,1,1,1,1,6,10,10,10,7
"1,282",6,2,3,2,2,5,,2,1,3,1,,8,8,,9
"1,284",5,2,2,2,2,20,4,1,1,1,2,,4,7,6,7
"1,285",6,2,5,2,2,4,3,3,1,3,3,,,7,,
"1,287",4,1,5,4,2,8,1,2,1,1,2,5,7,8,8,8
"1,288",3,2,4,3,2,10,1,1,1,2,2,7,9,4,7,9
"1,293",5,2,4,3,2,6,3,1,1,2,3,,7,5,7,
"1,295",3,2,2,1,2,2,2,2,1,2,1,7,8,6,8,9
"1,297",6,1,4,4,2,5,,,1,,,,,8,,
"1,300",5,2,5,6,2,9,3,2,3,3,3,,3,,,
"1,302",2,2,3,1,2,4,1,,1,1,1,7,,5,9,8
"1,303",2,1,3,1,1,8,2,1,1,2,1,8,3,7,7,9
"1,306",6,2,5,4,2,3,3,3,1,1,3,,,4,8,
"1,308",2,2,3,1,1,6,,1,1,1,,,2,9,7,
"1,309",2,2,5,2,2,10,1,1,1,2,1,9,9,8,10,10
"1,312",3,1,4,8,1,4,3,1,1,3,2,,5,5,,5
"1,314",4,2,3,3,2,3,,2,1,,1,,5,5,,8
"1,315",2,2,3,6,1,5,3,3,1,3,3,,,3,,
"1,317",5,2,3,2,2,12,1,3,1,1,2,7,,7,8,7
"1,319",6,1,4,3,2,10,,1,1,,1,,5,8,,8
"1,321",2,1,3,8,1,8,3,2,1,3,3,,4,6,,
"1,322",3,1,4,2,1,6,,1,1,1,,,7,7,8,
"1,324",5,2,2,4,1,8,,,1,2,2,,,4,4,7
"1,325",3,1,1,1,1,2,3,1,2,3,3,,8,7,,
"1,326",6,2,3,4,2,2,1,3,3,3,3,3,,,,
"1,329",4,2,3,3,2,8,2,2,1,1,1,8,5,5,10,9
"1,330",2,2,3,4,1,4,3,3,1,2,3,,,7,5,
"1,331",5,2,2,4,2,6,,,,,,,,,,
"1,332",6,2,3,4,2,12,,1,1,,,,8,8,,
"1,335",2,2,3,8,2,5,,1,1,,1,,5,5,,1
"1,336",5,2,4,4,2,10,1,1,1,1,2,8,4,7,6,6
"1,337",2,2,3,3,1,4,,,1,,,,,3,,
"1,339",6,2,3,3,2,5,2,1,1,1,2,7,9,8,10,8
"1,341",2,2,4,5,1,5,,3,1,1,4,,,6,7,
"1,343",2,2,3,1,1,8,2,1,1,1,2,9,8,9,9,7
"1,344",6,1,3,4,2,6,3,2,2,2,2,,10,10,10,10
"1,345",5,2,3,3,2,10,1,1,1,,,9,10,7,,
"1,347",2,2,2,1,1,6,,,1,,1,,,4,,10
"1,351",3,2,4,5,2,1,3,3,3,3,3,,,,,
"1,353",3,2,4,4,2,3,2,2,2,2,1,5,5,5,5,5
"1,354",6,2,3,4,2,25,1,3,2,1,1,9,,3,8,5
"1,356",6,2,3,3,2,4,,,1,1,,,,6,10,
"1,357",5,2,4,3,2,10,,1,1,1,2,,7,7,7,7
"1,359",5,2,5,6,1,10,,,1,,,,,4,,
"1,366",4,2,5,2,1,6,,,,,1,,,,,10
"1,373",5,2,5,3,2,20,,1,1,,1,,7,8,,7
"2,766",2,2,2,1,1,9,2,,2,2,2,8,,1,3,6
"2,767",2,2,3,2,1,8,3,2,3,1,1,,7,,9,10
"2,768",2,2,2,2,2,4,3,1,1,3,3,,9,7,,
"2,772",2,1,3,4,1,15,1,1,1,1,2,8,7,7,8,9
"2,773",2,1,2,3,2,4,3,3,2,3,3,,,7,,
"2,774",2,1,3,2,1,12,3,1,1,1,1,,6,9,8,10
"2,775",2,1,2,1,3,3,2,3,1,3,3,8,,8,,
"2,776",2,1,3,6,1,5,2,1,2,1,3,6,7,6,8,
"2,777",5,1,3,2,1,12,3,1,1,3,2,,8,8,,8
"2,778",2,1,2,2,1,2,3,4,3,1,1,,,,8,6
"2,781",2,1,3,1,1,6,,,,1,1,,,,7,7
"2,782",5,1,3,8,2,5,2,2,2,1,1,8,7,7,7,9
"2,783",4,1,5,5,1,1,3,1,1,2,2,,8,6,8,8
"2,784",2,1,2,1,1,2,,1,,,,,9,,,
"2,785",2,1,2,5,1,3,4,2,2,1,2,,7,7,8,7
"2,786",4,1,3,1,1,2,3,3,1,3,3,,,7,,
"2,787",4,1,5,3,1,1,3,3,3,3,3,,,,,
"2,788",4,1,3,1,1,3,,1,,1,,,5,,7,
"2,789",4,1,4,3,2,1,4,3,3,1,3,,,,8,
"2,790",5,1,5,2,1,20,1,1,1,2,1,7,8,6,8,9
"2,793",4,1,5,6,2,45,1,1,1,1,1,5,4,7,3,5
"2,794",2,1,3,3,1,6,,1,,,,,5,,,
"2,796",5,1,3,4,2,5,,,1,,1,,,7,,10
"2,797",2,1,3,5,1,4,2,1,1,2,3,9,8,8,9,
"2,798",2,1,3,1,1,5,2,1,2,2,3,9,8,8,5,
"2,799",4,1,3,2,1,30,1,1,2,1,1,8,5,3,5,9
"2,800",6,1,2,2,1,12,3,3,1,2,2,,,5,5,5
"2,802",4,1,3,4,2,10,3,3,3,1,1,,,,10,6
"2,803",5,1,5,3,1,12,3,1,1,2,3,,8,8,5,
"2,804",3,1,4,3,1,10,2,1,1,1,1,8,8,8,8,8
"2,805",6,1,5,1,1,4,3,1,2,3,2,,8,8,,8
"2,806",5,1,2,3,1,80,3,1,1,3,1,,8,8,,8
"2,807",5,1,4,2,2,3,,1,,,1,,8,,,8
"2,808",4,1,3,2,2,15,1,1,1,1,1,5,5,9,6,5
"2,809",4,1,3,4,2,11,1,2,1,3,2,6,6,6,,5
"2,810",6,1,5,5,2,8,1,1,1,1,1,8,9,4,6,7
"2,811",2,1,3,1,1,10,3,1,1,1,1,,9,7,9,7
"2,812",2,1,1,1,1,10,4,1,1,2,1,,10,10,9,7
"2,813",2,1,3,4,1,3,,1,,,,,8,,,
"2,814",2,1,4,2,1,20,1,1,3,2,1,8,8,,8,10
"2,816",2,1,3,5,1,7,2,1,3,2,2,7,7,,4,5
"2,817",2,1,2,1,1,5,3,2,1,1,3,,4,7,7,
"2,819",6,1,4,6,2,12,1,3,1,1,3,6,,7,7,
"2,820",3,1,4,6,1,8,,1,1,,1,,10,4,,8
"2,821",6,1,5,2,1,4,,1,,,,,6,,,
"2,822",6,1,4,3,1,16,3,1,1,1,3,,6,6,7,
"2,823",3,1,4,2,1,20,1,1,1,1,1,9,9,9,10,10
"2,825",6,1,5,4,2,5,1,1,1,3,2,7,7,8,,7
"2,827",3,1,4,2,1,5,1,1,1,3,1,9,3,7,,8
"2,828",4,1,3,2,2,6,2,1,1,1,2,5,3,9,6,4
"2,829",6,1,2,2,1,10,3,2,1,1,1,,9,9,10,10
"2,830",3,1,5,8,2,4,3,2,2,1,1,,3,3,9,9
"2,831",2,1,3,8,1,10,1,1,,,,9,3,,,
"2,834",5,1,3,8,1,5,3,3,1,4,3,,,4,,
"2,835",6,1,4,5,2,4,2,2,1,1,1,6,5,8,8,6
"2,836",3,1,5,2,1,6,,1,1,,1,,7,6,,7
"2,837",4,1,4,4,1,20,3,1,1,2,1,,8,6,7,7
"2,840",3,1,5,3,2,28,2,1,,1,2,7,8,,8,7
"2,841",4,1,4,2,1,8,2,3,1,1,1,1,,1,6,6
"2,842",2,1,3,8,1,20,,,1,,1,,,9,,9
"2,843",3,1,4,8,1,16,1,1,,,1,7,9,,,7
"2,844",2,1,3,6,1,10,2,,3,1,2,7,,,9,6
"2,846",6,1,4,2,1,5,3,2,1,1,2,,6,5,8,7
"2,848",2,1,3,5,1,30,1,,1,1,1,3,,2,9,4
"2,849",6,1,3,3,1,2,1,2,3,3,1,8,4,,,9
"2,850",2,1,3,8,1,8,2,2,1,1,1,6,7,2,7,7
"2,851",2,1,3,2,1,3,1,1,2,2,2,9,7,6,7,8
"2,852",6,1,4,5,2,6,3,2,1,3,1,,8,8,,7
"2,854",4,1,2,2,2,12,,1,,,1,,4,,,6
"2,855",2,1,3,1,1,10,4,2,1,1,3,,8,7,9,
"2,858",2,1,3,2,1,5,,3,,,,,,,,
"2,859",5,1,3,3,2,3,,1,1,,1,,7,5,,9
"2,860",2,1,4,8,1,15,1,1,1,2,2,7,8,8,7,6
"2,863",3,1,3,2,2,5,,1,1,3,2,,8,9,,7
"2,864",3,1,4,3,1,10,3,2,2,1,1,,6,4,6,9
"2,865",2,1,2,2,1,4,3,2,1,3,3,,9,9,,
"2,866",2,1,1,1,1,2,,2,1,3,1,,9,8,,9
"2,867",5,1,4,3,2,3,3,2,1,2,3,,7,8,9,
"2,868",5,1,3,2,2,5,3,2,1,2,1,,7,7,8,7
"2,869",2,1,4,1,1,2,1,3,3,2,3,9,,,6,
"2,871",5,1,2,4,2,6,4,3,2,2,3,,,7,9,
"2,872",2,1,4,8,1,16,2,1,2,2,2,7,8,4,6,7
"2,873",6,1,4,3,2,16,,1,1,,2,,8,7,,8
"2,874",3,1,3,3,2,20,1,,1,,,10,,10,,
"2,875",3,1,3,2,2,2,2,2,1,1,2,8,8,8,8,8
"2,878",4,1,4,3,2,15,1,1,1,1,,9,4,4,7,
"2,880",4,1,5,4,2,2,2,2,1,1,2,5,7,8,8,6
"2,881",6,1,1,1,1,4,2,3,2,1,3,5,,3,10,
"2,884",2,1,2,3,2,6,1,3,1,1,2,8,,7,6,7
"2,885",4,1,5,3,2,10,,2,2,1,1,,7,9,8,6
"2,886",2,1,2,1,1,5,,1,1,,1,,6,6,,8
"2,887",6,1,3,6,2,6,1,1,1,1,3,5,7,5,4,
"2,888",4,1,4,1,1,7,,1,1,,,,9,9,,
"2,889",3,1,1,2,2,10,,,1,,1,,,10,,2
"2,890",2,1,4,1,1,7,,1,1,3,1,,6,10,,5
"2,892",2,1,3,1,1,3,,1,1,,,,8,7,,
"2,893",2,1,2,2,1,6,3,2,3,2,1,,5,,7,8
"2,894",6,1,3,2,1,15,,,1,,1,,,9,,9
"2,895",2,1,3,8,1,7,3,2,2,1,1,,6,6,9,7
"2,896",5,1,3,1,1,1,1,3,3,3,1,7,,,,10
"2,897",4,1,3,2,2,6,3,3,1,3,2,,,8,,10
"2,898",3,1,5,3,2,15,1,1,1,1,,8,4,7,7,
"2,899",2,1,4,2,1,3,2,1,3,2,3,7,6,,5,
"2,901",6,1,5,3,2,15,1,1,1,3,1,10,10,8,,10
"2,902",4,1,4,2,2,12,1,1,1,1,1,6,4,6,6,7
"2,907",5,1,3,3,1,8,4,1,1,2,3,,7,7,7,
"2,908",3,1,3,2,2,20,1,1,1,1,3,7,4,8,9,
"2,909",2,1,3,1,2,5,2,1,1,1,2,5,7,7,9,6
"2,910",4,1,5,8,2,4,,1,1,3,1,,8,5,,7
"2,911",6,1,4,2,2,3,1,1,2,3,3,10,10,8,,
"2,913",5,1,5,3,2,8,1,1,2,2,1,2,5,2,2,8
"2,916",2,1,4,5,1,15,1,2,1,2,2,5,7,4,10,9
"2,918",5,1,4,2,2,7,,1,1,,,,10,2,,
"2,919",2,1,1,8,1,15,2,2,1,1,2,10,9,8,10,10
